,Return
1,0.9996879585980302
2,0.9999772438839963
3,1.0009744401416398
4,1.0015761355555364
5,1.0024019415230954
6,1.0027323205150558
7,1.0040622163155708
8,1.0022706989014807
9,1.002851801426582
10,1.001945207004305
11,1.0016364528541501
12,1.0017121203898285
13,1.002305292769202
14,1.003757923443924
15,1.002954071986467
16,1.0043907520036457
17,1.0067455515037538
18,1.0063031575967836
19,1.0047868809042004
20,1.0049988639655738
21,1.0028538023749871
22,1.0055354256756222
23,1.0054180393678451
24,1.0060616810036056
25,1.0044041458918678
26,1.0030449523097416
27,1.0032583752215438
28,1.0055642856851899
29,1.001985495527135
30,0.9990799283990424
31,1.0016044352893996
32,1.0015723879068774
33,1.0015363517079285
34,1.0033609967736137
35,1.0052397210987225
36,1.005825475899453
37,0.9993573772320994
38,1.0017144071644495
39,1.005191677815413
40,1.0040151774661148
41,1.004052690114437
42,1.0033655916919757
43,1.006073909283573
44,1.0099133303755494
45,1.011835046781569
46,1.012390942529046
47,1.0105788282691777
48,1.0114638884486424
49,1.0118092844040352
50,1.0128301452208979
51,1.0125153932327613
52,1.0087526443902468
53,1.0076692915386123
54,1.0097523797730823
55,1.010600012974188
56,1.0117109803767332
57,1.0181798805315914
58,1.021580015464381
59,1.0192742462472744
60,1.020399085089186
61,1.0208540861075726
62,1.020752798373161
63,1.0199744222118867
64,1.0182018324762843
65,1.0202342860846472
66,1.02009628800052
67,1.01995486271314
68,1.01989242056886
69,1.0151424463479959
70,1.0155639900772682
71,1.0210540385287379
72,1.0186713991108398
73,1.016947995133406
74,1.0161141040569035
75,1.0212188766523225
76,1.0186306176424749
77,1.0187984099382905
78,1.0170111403433544
79,1.015777095522122
80,1.0158861159572974
81,1.0149372659971982
82,1.014658931864456
83,1.015435429271413
84,1.0144782126168437
85,1.011414997747926
86,1.0109533773879478
87,1.0095684764973893
88,1.0092366545003528
89,1.0102049756133784
90,1.0129692124208522
91,1.0119403939626848
92,1.012762577175761
93,1.013077202658906
94,1.015068596238847
95,1.0166080073331678
96,1.011857380330345
97,1.0219455144283467
98,1.0220954943118097
99,1.0212583401831958
100,1.0179691408173146
101,1.0137732911573873
102,1.0159369761208443
103,1.021246256254477
104,1.0259616965613945
105,1.0286098643754509
106,1.0269627966394215
107,1.0267644241862917
108,1.0238788768385625
109,1.0234832298891405
110,1.0249521208681804
111,1.0223606912509882
112,1.0242831949877365
113,1.0245804119158188
114,1.0255916296505458
115,1.0240611939766657
116,1.021707793182319
117,1.0244593007404217
118,1.0245997064867869
119,1.027443221613162
120,1.02796621235507
121,1.0264162631243958
122,1.0310913260424803
123,1.0289158426438718
124,1.0295422576342053
125,1.0272786173003734
126,1.0245693348524931
128,1.0249167864316775
129,1.0240667117043687
130,1.0228775322632642
131,1.0234959292742594
132,1.0224029059077773
133,1.0212256414267418
134,1.0240650584669817
135,1.0266058249078749
136,1.023682436371766
137,1.021097461148958
138,1.0232044357604861
139,1.023047001137578
140,1.0212317024818953
141,1.0202160593951022
142,1.0184625180664193
143,1.0166947198590588
144,1.015951070040895
145,1.013647458858723
146,1.0118193564297888
147,1.014013163430736
148,1.0060747613781293
149,1.0074220349366987
150,1.0075950266258067
151,1.011569658315879
152,1.008407484600831
153,1.010372576815338
154,1.008446927758222
155,1.010507215247582
156,1.0111912631615931
157,1.0097810699059362
158,1.0047177919810346
159,1.001546790175948
160,1.0040235025373063
161,1.0043190607288446
162,1.008535199905551
163,1.0043346017690193
164,1.0053505146463833
165,1.0030486935948644
166,1.0046315780306332
167,1.0068545496540837
168,1.0060791640545954
169,1.0061479996494824
170,1.004330876888525
171,1.0021582279730472
172,0.9982547160936771
173,0.9993254094739963
174,0.9952390435486986
175,0.9954701695745013
176,0.9959409096335594
177,0.9965980790842223
178,0.999484677314119
179,0.9995076732888031
180,0.9983743769777497
181,0.9994659199406647
182,1.0005394702815786
183,1.000689523338367
184,0.99957858998872
185,0.9981442218716262
186,0.998320746443431
187,0.9990906056482408
188,1.0007092368034576
189,1.0027969810143442
190,1.0024263536772349
191,1.0025916292174089
192,1.0024998556784581
193,1.003313077342885
194,1.0042978237157834
195,1.0053249046322577
196,1.007194440158506
197,1.0065959963932107
198,1.0076925451189678
199,1.0075884879511134
200,1.0084487852673807
201,1.0070702312955306
202,1.0068405341904147
203,1.0072913807172308
204,1.0070714727559602
205,1.0054979521399718
206,1.004660511474094
207,1.0056550423243271
208,1.0057465613962364
209,1.0073521253817996
210,1.0055432760076168
211,1.0051442723848067
212,1.00566353112889
213,1.0082058798124875
214,1.0075223242707103
215,1.0072545163027666
216,1.0057770212700687
217,1.0063224055938498
218,1.0062882364796786
219,1.006314485513308
220,1.005477082365115
221,1.0051060182529223
222,1.0068874640019008
223,1.004841676661865
224,1.0078832659691561
225,1.0055863024622367
226,1.0020893639983455
227,0.99972960425417
228,0.9996100540405152
229,0.9991926571183288
230,0.9990148825541143
231,0.9980553834296032
232,0.9976163817627576
233,0.999381985099512
234,0.9977012389444712
235,0.9977629823533964
236,0.9978371875456449
237,0.9970422675202386
238,0.9976948034062899
239,0.9990140632747697
240,0.9988006902474561
241,0.9976818614151469
242,0.9992728688795627
243,0.9995194682984954
244,0.9991075259438753
246,0.998892810464818
247,0.9986797150836579
248,0.999893407799195
249,1.0003353700823452
250,1.0005441865041917
251,0.996218393246041
253,0.9920329912107648
254,0.9949905783550187
255,0.9981457726513018
256,0.9926462120273886
257,0.9928405908773779
258,0.9895315008299098
259,0.9904396307371011
260,0.9924660832858204
261,0.9944372666120195
262,0.9940455219221469
263,0.9921634187161843
264,0.996362648388798
265,0.996020884887124
266,0.992020025676936
267,0.9905590761072812
268,0.9973145690295437
269,0.99682570941493
270,0.9989514664996555
271,0.999261527183853
272,0.9980271000997862
273,0.9997890485218318
274,1.0010679799536197
275,0.9968769124881083
276,1.0008729059111021
277,1.000241946076318
278,0.9998023603180071
279,1.001938678804294
280,0.99888480632168
281,1.0003020271701037
282,1.0015224386415893
283,1.0019760476661352
284,1.000136260578609
285,0.9992864431827913
286,0.9994826305355357
287,1.0012888049333553
288,1.0025312047684494
289,0.9999211016027566
290,0.9977108894280301
291,0.9991035085669813
292,0.9992524940256723
293,0.9983194390165625
294,0.9984326321168638
295,0.9987134932136509
296,1.0000387933152037
297,1.0020219803597805
