,Semester,Days,S1,S2,Pair,Return,Converged,Count day
81,1,3,PPW,0961514D,PPW-0961514D,0.9862238210581822,False,252
82,2,3,JCI,1436513D,JCI-1436513D,1.0000724187309529,True,254
83,2,2,JCI,1436513D,JCI-1436513D,1.0000649953668557,True,256
84,2,2,JCI,1436513D,JCI-1436513D,1.0000502244192881,True,259
85,2,2,JCI,1436513D,JCI-1436513D,1.0000836334106096,True,261
86,2,3,JCI,1436513D,JCI-1436513D,1.0000359944998127,True,266
87,2,2,JCI,1436513D,JCI-1436513D,1.0000290025927048,True,270
88,2,2,JCI,1436513D,JCI-1436513D,1.000031882020646,True,272
89,2,2,JCI,1436513D,JCI-1436513D,1.0000510805622753,True,278
90,2,2,JCI,1436513D,JCI-1436513D,1.0000341439329694,True,281
91,2,3,JCI,1436513D,JCI-1436513D,1.0000490757248175,True,290
92,2,2,JCI,1436513D,JCI-1436513D,1.0000354358552936,True,300
93,2,9,JCI,1436513D,JCI-1436513D,1.000050387145247,True,314
94,2,2,JCI,1436513D,JCI-1436513D,1.0000459263569839,True,325
95,2,2,JCI,1436513D,JCI-1436513D,1.0000304166746086,True,329
96,2,2,JCI,1436513D,JCI-1436513D,1.0000150613689591,True,348
97,2,2,JCI,1436513D,JCI-1436513D,1.0000468222571,True,353
98,2,4,JCI,1436513D,JCI-1436513D,1.0000469152395184,True,358
99,2,4,JCI,1436513D,JCI-1436513D,1.0000516853295354,True,362
100,2,4,JCI,1436513D,JCI-1436513D,1.000031276665597,True,366
101,2,5,AEP,NEE,AEP-NEE,1.0277912067532593,True,270
102,2,27,AEP,NEE,AEP-NEE,1.0083019410351672,True,299
103,2,14,AEP,NEE,AEP-NEE,1.0198656422914472,True,319
104,2,4,AEP,NEE,AEP-NEE,1.0151340390936856,True,323
105,2,16,AEP,NEE,AEP-NEE,1.0282254630845424,True,340
106,2,38,AEP,NEE,AEP-NEE,1.0153961981795134,False,379
107,2,27,3054Q,210967Q,3054Q-210967Q,1.026110468860437,True,287
108,2,6,3054Q,210967Q,3054Q-210967Q,1.021398632167979,True,317
109,2,19,3054Q,210967Q,3054Q-210967Q,1.0145953463434805,True,341
110,2,5,3054Q,210967Q,3054Q-210967Q,1.0146861961851734,True,349
111,2,13,3054Q,210967Q,3054Q-210967Q,0.983313278616587,False,379
112,2,7,USW,BLS,USW-BLS,1.0157204350199427,True,263
113,2,3,USW,BLS,USW-BLS,1.024835107805326,True,269
