,Committed Capital,Fully Invested
Mean Return (%),-0.313,-3.464
Sharpe Ratio,-0.931,-0.544
Sortino Ratio,-1.096,-0.608
t-statistic,-0.440,-1.430
% of negative excess returns,53.51,51.67
MDD (%),-26.13,-76.32
Annualized STD (%),3.416,11.640
Skewness,-3.011,-3.381
Kurtosis,59.992,74.318
Minimum Daily Ret (%),-4.777,-17.751
Maximum Daily Ret (%),1.424,5.642
