,Semester,Sharpe,Sortino,Kappa_3,Omega,VaR_95,CVaR_95,Max_Drawdown,Calmar,Sterling,Burke
0,0.0,0.002106797980191546,0.0017090587829377047,0.0022329321296937605,1.4016610912478875,-0.0027930504333562,-0.003983011979116344,-0.8350683600493246,0.00024555552964762025,0.0005425385549311766,3.949147162857916e-06
1,1.0,0.06503056980498659,0.06901997025721915,0.08012579937778978,1.506869978764087,-0.0034743438332505,-0.003847820986074529,-0.6295774219690502,0.0005819009366864371,0.0010995772890585777,1.0182472481898856e-05
2,2.0,0.09712743543741194,0.09864292800904542,0.11129657821017397,1.6205434547116804,-0.0033459912047301,-0.004116574679276985,-0.6409564319289851,0.0006129932839505431,0.0013463502199420518,1.2858417892253309e-05
3,3.0,0.05932201165492516,0.05639055082548534,0.06356560068430148,1.4228008548600164,-0.0032255932130329,-0.004159120441199114,-0.7862634306268872,0.0003371028715023131,0.0006192321645899191,5.845243448553513e-06
4,4.0,-0.16457088786467303,-0.15101266616816883,-0.15826929848862523,0.7562278860456316,-0.0034361277401258,-0.005272731451984299,-0.9894814124492015,-0.00026266358820201027,-0.00033392565990471225,-2.5429202787025794e-06
5,5.0,-0.00012343479751551,-0.00012972434868236928,-0.00014082879354917625,1.1008305771707572,-0.0042996211347313,-0.005760324272868157,-0.9941334196952386,0.00011639813347982861,0.00016589683364112866,1.3439958617794299e-06
6,6.0,0.0757684310605179,0.07556095181089673,0.07863309915418257,1.3917346512355484,-0.0036422210536779,-0.005346635686382514,-0.9510312580516567,0.0003222495066511115,0.0005666385818251954,4.860275767490827e-06
7,7.0,0.2497316884026932,0.28475253240303516,0.3180877265404273,2.279066039972922,-0.0026333170731502,-0.004123421619572999,-0.578888876194396,0.0011932415664875798,0.002520656220546004,3.058401013901817e-05
8,8.0,0.047884608242876284,0.05116407058927461,0.0538719888827611,1.3424758562264691,-0.0043157473598934,-0.005917323417101114,-0.9669290958380861,0.00033603329646802565,0.00053235803284904,4.4357712204411205e-06
9,9.0,0.026234156928572117,0.028165611556216726,0.03219466019711551,1.3700272555336994,-0.0037414836960716,-0.0041493917318107575,-0.8734169383413359,0.00031953097939000903,0.0006510970317199871,5.554740769289266e-06
