,Semester,Sharpe,Sortino,Kappa_3,Omega,VaR_95,CVaR_95,Max_Drawdown,Calmar,Sterling,Burke
29,29.0,-0.18366917173826888,-0.17147292488179666,-0.16924199168929618,0.6923470564484464,-0.0039912488585953,-0.005252057985811386,-0.9953708876662178,-0.0003285238906631414,-0.0004806143840291185,-3.7385386834230562e-06
30,30.0,0.0305072443867711,0.03207565369153592,0.03789499827751768,1.3199490206072846,-0.0024155269962757,-0.0028290282705158423,-0.8205509742734222,0.00022290578505567343,0.00045342821908342856,3.862486562970985e-06
31,31.0,-0.14243840891624981,-0.14015624191439557,-0.12262495844429117,0.9148264467051734,-0.0019304143653544,-0.0032277063933607002,-0.9170076377759584,-5.2474963048036594e-05,-8.309490175588143e-05,-6.824125850888648e-07
32,32.0,-0.157554602297632,-0.14777647382619197,-0.1517230997537492,0.7608416906000759,-0.0058455377178051,-0.008194462268370086,-0.9997828021510868,-0.0003707686841376868,-0.0005293947044143152,-4.250105962099936e-06
33,33.0,0.008298676701051968,0.007480918613467015,0.007094770267227106,1.1895275296531294,-0.005991755327071,-0.008188223745299214,-0.9918932432914603,0.00022118324490505182,0.0002516346605943864,2.3267517336514175e-06
34,34.0,0.005832473722412211,0.0062257749051473025,0.006578801759547824,1.1090440584030188,-0.0080213271135669,-0.010022663197871741,-0.9933397243628247,0.00019593604828078181,0.0002680902806960754,2.148469184323464e-06
35,35.0,0.07432617752775773,0.07599874473857887,0.07839888639448499,1.3077383682179067,-0.0046560665727934,-0.008280798635194157,-0.9915719264302434,0.0003680716967813317,0.0005195509350095591,4.466046215123637e-06
36,36.0,0.11767783588011173,0.11357947962697217,0.1219917813828394,1.4228366501004386,-0.0034577754119943,-0.0048825019982149005,-0.9726178103003144,0.00035209432860236543,0.0007168213150900012,5.921838848426e-06
37,37.0,0.13939835667417205,0.14044912455052275,0.15842462773385363,1.459195148425407,-0.0027406436160071,-0.0033539639060278146,-0.6001607135369522,0.0003896991857649923,0.0008485991580960709,7.73998302046532e-06
38,38.0,0.0675434074548003,0.06866188892703402,0.07259026655879575,1.211272651490149,-0.0035758113072174,-0.004535237336385314,-0.7894799063816159,0.00019245824059276978,0.00033293169794853584,2.7467244744277783e-06
39,39.0,0.10530636840222568,0.12282762294603496,0.11983145081414062,1.3529703146030663,-0.0017070561387758,-0.0028065836731517428,-0.7229385148380559,0.00021939948370663852,0.00041366586754946355,3.6305091661964013e-06
40,40.0,0.015769581895950586,0.018885064314761325,0.018963027987630773,1.0495687846492847,-0.0034625349015337,-0.004276943071560101,-0.9514866284442676,4.6435191300122985e-05,7.7792823824684e-05,6.134055528138498e-07
41,41.0,-0.053749065424726954,-0.051085656279300666,-0.05438723317860471,0.8783415283025465,-0.0026310834584854,-0.003624215640961129,-0.9894516414316229,-8.511744286870044e-05,-0.0001190440925493915,-1.0011734011361517e-06
42,42.0,-0.04638000045022193,-0.04829776990781035,-0.049043867886495555,0.8829929660378056,-0.0028113371976845,-0.003098424663790186,-0.9615577269427221,-6.97742342151717e-05,-8.848724702890331e-05,-7.696658759873553e-07
43,43.0,-0.012179084015790794,-0.01400518511886259,-0.014876890588496238,0.970436614136703,-0.0021002951115044,-0.002472893560610515,-0.745170411441329,-2.1088585835822038e-05,-3.612481881881891e-05,-2.9502601707620445e-07
44,44.0,-0.009476498509920503,-0.009648117280509034,-0.010330515703558363,0.9837075172347093,-0.0024184555014768,-0.002668253848784757,-0.8948426402614252,-9.406442047244018e-06,-1.3657085940723645e-05,-1.1165123640811443e-07
45,45.0,-0.0030424450877560355,-0.0032204968923437564,-0.0029821191972704253,0.9972775677523338,-0.0018814036268238,-0.003245912778593029,-0.8853825178473347,-1.676480116237873e-06,-3.2708762251358924e-06,-2.7715248027228006e-08
46,46.0,0.04801249982701952,0.047481513412912006,0.050258718729122374,1.1352090068148548,-0.0033510061362256,-0.004539033606519528,-0.78953132461784,0.0001321542133431517,0.00020163539842507766,1.635346268468872e-06
47,47.0,-0.0481798033497291,-0.04951295486462112,-0.05299610605564188,0.8847017215969921,-0.0022190947301222,-0.002476380983063229,-0.7610386178687316,-7.504044654026946e-05,-0.0001076983418207805,-8.542152231352527e-07
48,48.0,-0.019525442385384274,-0.015759761286292393,-0.011875450219494337,0.9363910634658228,-0.0032405625599178,-0.006750258169403372,-0.9903085635813185,-5.520680489264122e-05,-7.184895760663199e-05,-5.527029870015594e-07
