,Semestre,Sharpe Ratio,Sortino Ratio,Kappa 3,Omega Ratio,VaR (95%),CVaR (95%),Maximum Drawdown,Calmar Ratio,Sterling Ratio,Burke Ratio
0,0,-0.026192711240301265,-0.025608588052886086,-0.014940731454718706,0.9110415213291417,-0.004368517949139946,-0.007901068562113561,-0.042825711203189606,-0.4288539991144741,,-0.0884475729532995
1,1,0.021742233214048418,0.026120745236626674,0.015054114811594521,1.0843400866411712,-0.002920915365943271,-0.005042264690757957,-0.020682264880170664,0.5540116863254002,,0.1091243321736776
2,3,-0.11329285135103888,-0.09267590203613181,-0.047769502647391056,0.6232159974263335,-0.003992136153608355,-0.006957063220862726,-0.08035740315335124,-0.8946276963873995,,-0.09837252657011232
3,16,-0.0806481668604652,-0.07478311953622704,-0.04307662477705582,0.7367917484532787,-0.006633192265480704,-0.012377808956130129,-0.08947752004169975,-0.92339645236927,,-0.15204636137764865
4,18,0.0692487758503126,0.10107855106908036,0.057848693097994154,1.3423049532996945,-0.0062357706166240884,-0.009708272530564955,-0.028805664775453124,3.078825648419513,,0.45825993373543394
5,19,-0.04678808143797651,-0.046530963880273515,-0.02699788385907798,0.826713339213581,-0.005887681949949733,-0.009819873495178778,-0.05559634376793007,-0.7779417331554889,,-0.12590556689507895
6,20,-0.04400139214933228,-0.05483082953288268,-0.03128540814351156,0.8621510552806938,-0.005109326743138553,-0.007426084969988865,-0.034226007527880874,-0.9669208827718551,,-0.13308071928886867
7,21,-0.05498962053387037,-0.05467629971798498,-0.03133575713363606,0.8012225073027492,-0.004433751168895093,-0.008040293963437632,-0.05421329813618129,-0.7643648884733111,,-0.1027441921838764
8,22,0.0350173529811886,0.04935469746911771,0.02875846409425208,1.1517863188096504,-0.006274699369747524,-0.008182371523962067,-0.032854578589525216,1.0870077075177058,,0.2281291562491446
9,23,0.026536935706790065,0.033129877676196934,0.019572198483144444,1.1096686868812116,-0.0037592961592589932,-0.005565509965835642,-0.02406075568480387,0.6630356111928659,,0.11557742416530747
10,24,0.049424882156059134,0.049879011055567676,0.02827723631005236,1.2022268299322447,-0.00208865022252768,-0.004082746299206558,-0.011985853449248806,1.7499692776691766,,0.2998559333459677
11,25,-0.011644802023047131,-0.013598303254074311,-0.007992712807807638,0.9599470239792889,-0.004159168230938079,-0.006495016409147854,-0.034053555220482826,-0.21992003706989008,,-0.0369341925522724
12,26,-0.02587107571094067,-0.026666659918911904,-0.015339900962194845,0.9134539084590367,-0.0028939569376421016,-0.00527318798277525,-0.02632189978639725,-0.48809243998749213,,-0.09701949605196443
13,27,0.0952218231436732,0.16114913326992278,0.09152547238824775,1.4676636696554444,-0.0023265370746923197,-0.0034554353594808797,-0.010251220305648939,4.625279662495425,,0.7839986928499221
14,28,-0.021913186847198386,-0.024808603896130998,-0.014284117858470528,0.9202081183800961,-0.0033934617562894247,-0.005658769291699091,-0.024362577822614473,-0.4896809108165121,,-0.08936624916697995
15,29,-0.04236545615456185,-0.04727590968820039,-0.02701162901390326,0.8626686344098323,-0.003911547988932695,-0.005818473560724733,-0.046824294012588384,-0.5084338216132995,,-0.0777808221209681
16,30,-0.03715715337646523,-0.033958840748082766,-0.017640124327060563,0.8685153055557393,-0.0024341251667933965,-0.005199785007789806,-0.03908164316125576,-0.4983839713970646,,-0.055860977377522034
