,Return
252,0.997784505
254,0.9955739184180951
256,0.993567344163393
258,0.9915648141490684
260,0.9895663202239751
262,0.9877697675174401
263,0.9871618001643819
264,0.9855670452120253
266,0.9837777531692781
267,0.9831722428810912
268,0.9813872985900017
269,0.980979537074374
270,0.9790023777222984
271,0.9785956071293666
272,0.9766232525761753
274,0.9744687386680159
276,0.9725138715484051
278,0.9713409371556386
280,0.9699751492340182
281,0.9693872618456947
282,0.9684119758623607
283,0.9676313534947977
284,0.966464307833818
285,0.9656852554522377
286,0.964713694002006
287,0.9639360527639764
288,0.9629662511603314
289,0.9619974252595328
290,0.9610295740799406
291,0.9596782848112705
292,0.9589047025410584
293,0.957556401022386
294,0.9567845291708679
295,0.9560132795136712
296,0.9550554134804218
297,0.9544805293349422
298,0.9535241990223414
299,0.9529502365730304
300,0.9519954395188988
301,0.9514223972880257
302,0.9504691310341317
303,0.9498970075463353
304,0.9487552902368791
305,0.9483739494330319
306,0.9474237375348848
308,0.9464744776901466
309,0.9459047587359948
310,0.9449570208138364
312,0.9440102324663162
313,0.9436307988814991
314,0.9424966131663531
316,0.9413719771976992
318,0.9400604088077246
320,0.9387506677630324
322,0.9374427515176703
324,0.9361366575292328
326,0.9350196105903628
327,0.9344649083363408
328,0.9335367491972059
329,0.9329829266536711
330,0.9320562394958065
331,0.9316897065155123
332,0.9307643038511364
333,0.9303982789271183
334,0.9294741589757775
335,0.9289227465720167
336,0.9280000921961385
337,0.9270783542485646
338,0.9259721161482007
339,0.9254378635721795
340,0.9245337440952326
341,0.9238154146592853
342,0.9232824064223819
343,0.9220110797869049
344,0.9212947103703093
345,0.920394638604887
346,0.9196795251048979
347,0.9187810313173334
348,0.9180671715321169
349,0.9173538663902546
350,0.9162741739142525
351,0.9155622618669913
352,0.914850902949762
353,0.9141400967328025
354,0.9134298427866846
355,0.9125374547137564
356,0.9116459384718494
357,0.9107552932092161
358,0.9098655180749412
359,0.9088116026480446
360,0.907940670312995
361,0.9070705726098207
362,0.9062013087386773
363,0.9053328779004869
364,0.9044652792969373
365,0.9035985121304815
366,0.9027325756043366
367,0.9018674689224835
368,0.9010031912896658
369,0.899959541273131
370,0.8990970920455382
371,0.8982354693202892
372,0.8971950252114661
373,0.8963352252749055
374,0.89511771521171
375,0.8942599060028684
376,0.8932240668685472
377,0.8923680723807857
378,0.8913344245951856
380,0.8895981051360743
382,0.8880430876482964
383,0.8877340486537948
384,0.8861822895367479
385,0.8856966616420818
386,0.8841484638775315
387,0.8836639505193267
388,0.8822960387239227
389,0.8819889997024468
390,0.8806236807309075
391,0.8803172236900131
392,0.878954492627741
393,0.8786486164643065
394,0.8774641981293125
396,0.8762813763902342
397,0.8758011741959724
398,0.8749709146828346
399,0.8744914306215884
400,0.8736624127453592
401,0.8730089132606257
402,0.8721795547930281
403,0.8715254201269333
404,0.8706974709778128
405,0.870218587368775
406,0.8697399671457221
407,0.8692616101637919
408,0.8682619593121036
409,0.8677844152344819
410,0.8666129062739154
411,0.8663095917567196
412,0.8651400738078481
413,0.8644912187524921
414,0.8636699520946772
415,0.8630221996306062
416,0.8620297241010311
417,0.8617280136975958
418,0.8607370264818436
419,0.860435768522575
420,0.859446267388774
421,0.8589675558178385
422,0.8579737303557573
423,0.857324244241878
424,0.8566752497889869
425,0.8556840765249811
426,0.8550363236790517
427,0.8542180539172909
428,0.853400567239692
429,0.8525838628968436
430,0.8519384569126307
431,0.8512935395007478
432,0.8504788515834456
433,0.8496649433224802
434,0.8488518139717206
435,0.8483790035113383
436,0.8472277532035734
437,0.846755847345039
438,0.8461148531685988
439,0.8451358982834828
440,0.8446651575881389
441,0.8440257460638446
442,0.8437244288724998
443,0.8434324175351159
444,0.8429718207787648
445,0.8425114755533811
446,0.8420513817216043
447,0.8412547185934602
448,0.8409635620178645
449,0.8401679280737665
450,0.8395410804629665
451,0.8392505169741005
